Time,Actual Shipment,Desired Shipment,Production Start,Desired Production Start,Actual WIP,Desired WIP,Actual Production,Desired Production,Actual Inventory,Desired Inventory
17.9,12469.25352,12098.72762,12839.25845,12839.25845,104669.1306,104278.118,12916.48781,13034.76475,34984.94403,46421.02068
18,12464.31714,12098.71923,12829.01723,12829.01723,104661.4077,104255.5537,12927.30563,13031.94422,35066.72005,46440.75792
18.1,12459.38118,12098.76531,12818.68974,12818.68974,104651.5789,104231.1667,12937.61161,13028.89583,35149.57869,46460.24845
18.2,12454.44291,12098.86078,12808.29586,12808.29586,104639.6867,104205.0227,12947.41364,13025.62784,35233.46332,46479.49534
18.3,12449.49987,12099.00083,12797.85403,12797.85403,104625.7749,104177.1864,12956.71975,13022.14829,35318.3186,46498.50165
18.4,12444.54983,12099.18089,12787.38125,12787.38125,104609.8883,104147.7206,12965.53811,13018.46508,35404.0905,46517.27038
18.5,12439.59079,12099.39667,12776.89324,12776.89324,104592.0726,104116.6873,12973.87699,13014.58591,35490.72622,46535.8045
18.6,12434.62096,12099.64411,12766.40449,12766.40449,104572.3743,104084.1466,12981.74475,13010.51832,35578.17425,46554.10695
18.7,12429.63875,12099.91938,12755.92833,12755.92833,104550.8402,104050.1575,12989.14982,13006.26969,35666.38432,46572.18061
18.8,12424.64278,12100.21888,12745.47702,12745.47702,104527.5181,104014.7777,12996.10067,13001.84721,35755.30736,46590.02835
18.9,12419.63184,12100.5392,12735.0618,12735.0618,104502.4557,103978.0635,13002.60581,12997.25793,35844.89554,46607.653
19,12414.60488,12100.87716,12724.69297,12724.69297,104475.7013,103940.0698,13008.67375,12992.50873,35935.1022,46625.05733
19.1,12409.56102,12101.22974,12714.37994,12714.37994,104447.3032,103900.8505,13014.31303,12987.60631,36025.88186,46642.24412
19.2,12404.49953,12101.59412,12704.13129,12704.13129,104417.3099,103860.458,13019.53215,12982.55725,36117.19019,46659.21607
19.3,12399.41983,12101.96766,12693.95483,12693.95483,104385.7698,103818.9436,13024.33962,12977.36795,36208.98399,46675.97587
19.4,12394.32144,12102.34786,12683.85764,12683.85764,104352.7314,103776.3573,13028.74391,12972.04466,36301.22119,46692.52617
19.5,12389.20405,12102.7324,12673.84612,12673.84612,104318.2427,103732.748,13032.75347,12966.5935,36393.86079,46708.86959
19.6,12384.06743,12103.11911,12663.92604,12663.92604,104282.352,103688.1633,13036.3767,12961.02041,36486.8629,46725.00872
19.7,12378.91147,12103.50596,12654.10258,12654.10258,104245.1069,103642.6497,13039.62197,12955.33121,36580.18866,46740.94611
19.8,12373.73618,12103.89104,12644.38037,12644.38037,104206.555,103596.2526,13042.49757,12949.53157,36673.80026,46756.68428
19.9,12368.54162,12104.27259,12634.76354,12634.76354,104166.7433,103549.0163,13045.01177,12943.62704,36767.66091,46772.22573
20,12363.328,12104.64898,12625.25571,12625.25571,104125.7185,103500.9839,13047.17276,12937.62299,36861.73483,46787.57291
20.1,12358.09555,12105.01866,12615.86009,12615.86009,104083.5267,103452.1975,13048.98868,12931.52469,36955.98721,46802.72825
20.2,12352.84461,12105.38024,12606.57945,12606.57945,104040.2139,103402.6982,13050.46759,12925.33728,37050.38421,46817.69414
20.3,12347.5756,12105.7324,12597.41619,12597.41619,103995.8251,103352.526,13051.6175,12919.06574,37144.89294,46832.47297
20.4,12342.28898,12106.07393,12588.37235,12588.37235,103950.4049,103301.7197,13052.44634,12912.71496,37239.48145,46847.06706
20.5,12336.98529,12106.40372,12579.44964,12579.44964,103903.9975,103250.3175,13052.96198,12906.28968,37334.1187,46861.47872
20.6,12331.6651,12106.72076,12570.64946,12570.64946,103856.6463,103198.3562,13053.17219,12899.79452,37428.77452,46875.71023
20.7,12326.32906,12107.0241,12561.97292,12561.97292,103808.394,103145.8719,13053.0847,12893.23399,37523.41967,46889.76386
20.8,12320.97786,12107.31291,12553.42088,12553.42088,103759.2829,103092.8997,13052.70713,12886.61246,37618.02572,46903.64181
20.9,12315.61221,12107.58639,12544.99395,12544.99395,103709.3542,103039.4737,13052.04705,12879.93421,37712.56515,46917.34629
21,12310.23289,12107.84386,12536.69251,12536.69251,103658.6489,102985.6272,13051.11192,12873.20339,37807.01121,46930.87946
21.1,12304.8407,12108.08468,12528.51674,12528.51674,103607.207,102931.3924,13049.90915,12866.42405,37901.33802,46944.24346
21.2,12299.43646,12108.30829,12520.46663,12520.46663,103555.0677,102876.8008,13048.44606,12859.6001,37995.52047,46957.44042
